weeknr,week,lec,leclink,lab,lablink
1.01,Week 1,"Regression refresher, intro to group-structured data",./lectures/01-recap-grouping.html,Identifying grouping structure ,./labs/01.html
1.02,Week 2,Modelling group-structured data using random effects,./lectures/01-ranefs.html,Modelling grouping structures with random effects,./labs/02.html
1.03,Week 3,Interpreting LMMs and building maximal models,,,
1.04,Week 4,"Troubleshooting model fit, checking assumptions + diagnostics",,,
1.05,Week 5,LMMs: Practice analysis,,,
1.06,Week 6,\-- No Lecture --\,,\-- No Lab --\,
1.07,Week 7,Measurement & Dimensionality,,,
1.08,Week 8,Exploratory Factor Analysis (EFA),,,
1.09,Week 9,Confirmatory Factor Analysis,,,
1.1,Week 10,Reliability & Validity,,,
1.11,Week 11,Recap & Exam Prep,,,
