OrgID,Sex,Mot,Perform,PubPri,Region,Size
Org1,female,3,58,public,England,3
Org1,female,7,59,public,England,3
Org1,male,4,60,public,England,3
Org1,male,1,48,public,England,3
Org1,female,4,59,public,England,3
Org1,male,4,50,public,England,3
Org1,female,1,43,public,England,3
Org1,female,2,48,public,England,3
Org1,male,5,65,public,England,3
Org1,male,2,41,public,England,3
Org1,female,2,50,public,England,3
Org1,female,2,64,public,England,3
Org2,female,1,61,public,England,1
Org2,female,1,56,public,England,1
Org2,female,1,46,public,England,1
Org2,female,0,60,public,England,1
Org2,female,0,65,public,England,1
Org2,male,3,39,public,England,1
Org2,female,0,67,public,England,1
Org2,female,0,65,public,England,1
Org3,male,3,61,public,England,1
Org3,female,0,42,public,England,1
Org3,male,3,67,public,England,1
Org3,female,4,67,public,England,1
Org3,female,1,46,public,England,1
Org4,female,2,42,private,England,2
Org4,female,1,56,private,England,2
Org4,male,2,40,private,England,2
Org4,male,3,40,private,England,2
Org4,female,1,41,private,England,2
Org4,female,2,39,private,England,2
Org4,male,2,48,private,England,2
Org4,male,1,42,private,England,2
Org4,male,1,50,private,England,2
Org4,female,1,59,private,England,2
Org4,female,0,62,private,England,2
Org4,female,0,42,private,England,2
Org4,female,1,53,private,England,2
Org4,male,2,53,private,England,2
Org4,male,4,44,private,England,2
Org4,female,0,43,private,England,2
Org4,male,1,62,private,England,2
Org4,male,1,64,private,England,2
Org4,female,2,45,private,England,2
Org4,female,3,37,private,England,2
Org4,female,1,50,private,England,2
Org4,male,2,58,private,England,2
Org4,female,2,56,private,England,2
Org4,female,1,37,private,England,2
Org5,male,1,48,private,England,3
Org5,female,0,48,private,England,3
Org5,female,0,53,private,England,3
Org5,female,1,42,private,England,3
Org5,male,2,43,private,England,3
Org5,male,1,57,private,England,3
Org5,male,5,33,private,England,3
Org5,female,1,64,private,England,3
Org5,male,1,36,private,England,3
Org5,male,2,56,private,England,3
Org5,male,1,48,private,England,3
Org5,female,1,48,private,England,3
Org5,female,1,44,private,England,3
Org5,male,2,35,private,England,3
Org5,male,1,50,private,England,3
