weeknr,week,lec,leclink,lab,lablink
1.01,Week 1,Regression Refresh & Group-Structured Data,https://uoepsy.github.io/dapr3/2526/lectures/01regression.html,Reading: Group-Structured Data,https://uoepsy.github.io/lmm/01_clustered.html
,,,,Exercises: Regression & Clustered Data,https://uoepsy.github.io/dapr3/2526/labs/01ex.html
1.02,Week 2,Multilevel Models,https://uoepsy.github.io/dapr3/2526/lectures/02mlm.html,Reading: The Multi-level/Mixed-effect Model,https://uoepsy.github.io/lmm/02_lmm.html
,,,,Exercises: Introducing MLM,https://uoepsy.github.io/dapr3/2526/labs/02ex.html
1.03,Week 3,Random Effect Structures & Model Building,https://uoepsy.github.io/dapr3/2526/lectures/03ranef.html,Reading: Random Effect Structures ,https://uoepsy.github.io/lmm/07_ranef.html
,,,,Reading: Model Building,https://uoepsy.github.io/lmm/08_modelbuilding.html
,,,,Exercises: Nested & Crossed Structures,https://uoepsy.github.io/dapr3/2526/labs/03ex.html
1.04,Week 4,"Assumptions, Diagnostics & Centering",https://uoepsy.github.io/dapr3/2526/lectures/04assumptions.html,Reading: MLM Assumptions & Diagnostics,https://uoepsy.github.io/lmm/09_assump.html
,,,,Reading: Centering Predictors in MLM,https://uoepsy.github.io/lmm/10_centering.html
,,,,Exercises: Centering,https://uoepsy.github.io/dapr3/2526/labs/04ex.html
1.05,Week 5,Recap & The Research Process,https://uoepsy.github.io/dapr3/2526/lectures/05recap.html,"Reading: Reporting on analyses with MLM
",https://uoepsy.github.io/lmm/11_writing.html
,,,,Exercises: Bringing it all together,https://uoepsy.github.io/dapr3/2526/labs/05ex.html
1.06,Week 6,No Lecture,,,
1.07,Week 7,Measurement & Dimensionality,https://uoepsy.github.io/dapr3/2526/lectures/07dimensions.html,Reading: Questionnaire Data Wrangling,https://uoepsy.github.io/lv/01_datawrangle.html
,,,,Reading: Dimension Reduction,https://uoepsy.github.io/lv/02_dimension_reduction.html
,,,,Walkthrough: PCA,https://uoepsy.github.io/lv/03_pca.html
,,,,Exercises: Scale Scores & PCA,https://uoepsy.github.io/dapr3/2526/labs/07ex.html
1.08,Week 8,Exploratory Factor Analysis (EFA),https://uoepsy.github.io/dapr3/2526/lectures/08efa.html,Reading: Exploratory Factor Analysis,https://uoepsy.github.io/lv/04_efa.html
,,,,Exercises: EFA,https://uoepsy.github.io/dapr3/2526/labs/08ex.html
1.09,Week 9,Confirmatory Factor Analysis,https://uoepsy.github.io/dapr3/2526/lectures/09cfa.html,Reading: Confirmatory Factor Analysis,https://uoepsy.github.io/lv/05_cfa.html
,,,,Exercises: CFA,https://uoepsy.github.io/dapr3/2526/labs/09ex.html
1.1,Week 10,Reliability & Validity,https://uoepsy.github.io/dapr3/2526/lectures/10ctt.html,Reading: Validity & Reliability,https://uoepsy.github.io/lv/06_reliability.html
,,,,Exercises: Validity & Reliability,https://uoepsy.github.io/dapr3/2526/labs/10ex.html
1.11,Week 11,Recap & Exam Prep,,,
